formula	moleculeIds	moleculeNames	SuperClass	Class	
C44H84NO8P	HMDB0000593|HMDB0007888|HMDB0007920|HMDB0007979|HMDB0008011|HMDB0008039|HMDB0008070|HMDB0008071|HMDB0008103|HMDB0008135|HMDB0008299|HMDB0008331|HMDB0008559|HMDB0008590|HMDB0062690|HMDB0112977|HMDB0113054|HMDB0113076|HMDB0113095|HMDB0113121|HMDB0113148|HMDB0113176|HMDB0113287|HMDB0113314|HMDB0113315|HMDB0113342|HMDB0113539|HMDB0113566|HMDB0113729|HMDB0113933|HMDB0114468	PC(18:1(9Z)/18:1(9Z)) |PC(14:0/22:2(13Z,16Z))|PC(14:1(9Z)/22:1(13Z))|PC(16:0/20:2(11Z,14Z))|PC(16:1(9Z)/20:1(11Z))|PC(18:0/18:2(9Z,12Z))|PC(18:1(11Z)/18:1(11Z))|PC(18:1(11Z)/18:1(9Z))|PC(18:1(9Z)/18:1(11Z))|PC(18:2(9Z,12Z)/18:0)|PC(20:1(11Z)/16:1(9Z))|PC(20:2(11Z,14Z)/16:0)|PC(22:1(13Z)/14:1(9Z))|PC(22:2(13Z,16Z)/14:0)|1,2-dioleoyl-sn-glycero-3-phosphocholine|PE-NMe(14:1(9Z)/24:1(15Z))|PE-NMe(16:0/22:2(13Z,16Z))|PE-NMe(16:1(9Z)/22:1(13Z))|PE-NMe(18:0/20:2(11Z,14Z))|PE-NMe(18:1(11Z)/20:1(11Z))|PE-NMe(18:1(9Z)/20:1(11Z))|PE-NMe(18:2(9Z,12Z)/20:0)|PE-NMe(20:0/18:2(9Z,12Z))|PE-NMe(20:1(11Z)/18:1(11Z))|PE-NMe(20:1(11Z)/18:1(9Z))|PE-NMe(20:2(11Z,14Z)/18:0)|PE-NMe(22:1(13Z)/16:1(9Z))|PE-NMe(22:2(13Z,16Z)/16:0)|PE-NMe(24:1(15Z)/14:1(9Z))|PE-NMe2(15:0/22:2(13Z,16Z))|PE-NMe2(22:2(13Z,16Z)/15:0)	Lipids and lipid-like molecules	Glycerophospholipids	
C44H84O6	HMDB0062962|HMDB0063275|HMDB0063341|HMDB0063426|HMDB0063610|HMDB0063687|HMDB0064065|HMDB0064153|HMDB0064175|HMDB0064236|HMDB0064416|HMDB0064499|HMDB0064579|HMDB0064593|HMDB0064788|HMDB0064975|HMDB0064992|HMDB0065009|HMDB0065069|HMDB0065114|HMDB0065342|HMDB0065682|HMDB0065826|HMDB0065952|HMDB0065955|HMDB0066219|HMDB0066300|HMDB0069739|HMDB0071120|HMDB0071134|HMDB0071167|HMDB0071170|HMDB0071171|HMDB0071183|HMDB0071229|HMDB0071265|HMDB0071266|HMDB0071267|HMDB0071289|HMDB0071348|HMDB0071349|HMDB0071394|HMDB0071405|HMDB0071435|HMDB0071446|HMDB0071468|HMDB0071478|HMDB0071486|HMDB0071495|HMDB0071504	TG(20:0/a-13:0/8:0)|TG(i-20:0/i-13:0/8:0)|TG(20:0/13:0/8:0)|TG(i-20:0/8:0/i-13:0)|TG(20:0/8:0/13:0)|TG(i-20:0/8:0/a-13:0)|TG(i-20:0/13:0/8:0)|TG(i-20:0/8:0/13:0)|TG(20:0/i-13:0/8:0)|TG(i-20:0/a-13:0/8:0)|TG(20:0/8:0/a-13:0)|TG(20:0/8:0/i-13:0)|TG(a-21:0/12:0/8:0)[rac]|TG(21:0/10:0/10:0)|TG(a-21:0/8:0/12:0)[rac]|TG(a-21:0/8:0/i-12:0)[rac]|TG(21:0/8:0/12:0)|TG(21:0/12:0/8:0)|TG(i-21:0/8:0/12:0)|TG(i-21:0/10:0/10:0)|TG(a-21:0/10:0/10:0)[rac]|TG(21:0/i-12:0/8:0)|TG(i-21:0/i-12:0/8:0)|TG(i-21:0/12:0/8:0)|TG(a-21:0/i-12:0/8:0)[rac]|TG(21:0/8:0/i-12:0)|TG(i-21:0/8:0/i-12:0)|TG(a-25:0/8:0/8:0)[rac]|TG(8:0/i-16:0/i-17:0)|TG(8:0/13:0/i-20:0)|TG(8:0/i-17:0/i-16:0)|TG(8:0/i-15:0/18:0)|TG(8:0/i-20:0/i-13:0)|TG(8:0/a-17:0/16:0)[rac]|TG(8:0/12:0/21:0)|TG(8:0/i-17:0/16:0)|TG(8:0/a-13:0/i-20:0)[rac]|TG(10:0/a-17:0/i-14:0)[rac]|TG(8:0/i-12:0/a-21:0)[rac]|TG(8:0/a-17:0/i-16:0)[rac]|TG(10:0/16:0/i-15:0)|TG(8:0/19:0/i-14:0)|TG(10:0/i-18:0/a-13:0)[rac]|TG(8:0/i-16:0/a-17:0)[rac]|TG(10:0/a-15:0/16:0)[rac]|TG(8:0/i-20:0/13:0)|TG(8:0/i-18:0/15:0)|TG(10:0/i-15:0/i-16:0)|TG(10:0/a-17:0/14:0)[rac]|TG(10:0/i-16:0/15:0)	Lipids and lipid-like molecules	Glycerolipids	
C44H85NO11S	HMDB0012315	3-O-Sulfogalactosylceramide (d18:1/20:0)	Lipids and lipid-like molecules	Sphingolipids	
C44H85NO8	HMDB0004973|HMDB0010710	Glucosylceramide (d18:1/20:0)|Galactosylceramide (d18:1/20:0) 	Lipids and lipid-like molecules	Sphingolipids	
C44H86NO7P	HMDB0008062|HMDB0008063|HMDB0008094|HMDB0008127|HMDB0008324|HMDB0011216|HMDB0011242|HMDB0011243|HMDB0011307|HMDB0011274|HMDB0013418|HMDB0013428	PC(18:0/P-18:1(11Z))|PC(18:0/P-18:1(9Z))|PC(18:1(11Z)/P-18:0)|PC(18:1(9Z)/P-18:0)|PC(20:1(11Z)/P-16:0)|PC(P-16:0/20:1(11Z))|PC(P-18:0/18:1(11Z))|PC(P-18:0/18:1(9Z))|PC(P-18:1(9Z)/18:0)|PC(P-18:1(11Z)/18:0)|PC(o-18:0/18:2(9Z,12Z))|PC(o-18:1(9Z)/18:1(11Z))	Lipids and lipid-like molecules	"Glycerophospholipids;"	
C44H86NO8P	HMDB0007887|HMDB0007919|HMDB0007978|HMDB0008010|HMDB0008037|HMDB0008038|HMDB0008069|HMDB0008102|HMDB0008266|HMDB0008298|HMDB0008526|HMDB0008558|HMDB0008915|HMDB0009747|HMDB0112998|HMDB0113016|HMDB0113053|HMDB0113075|HMDB0113094|HMDB0113120|HMDB0113147|HMDB0113285|HMDB0113286|HMDB0113313|HMDB0113512|HMDB0113538|HMDB0113702|HMDB0113728|HMDB0113932|HMDB0114439	PC(14:0/22:1(13Z))|PC(14:1(9Z)/22:0)|PC(16:0/20:1(11Z))|PC(16:1(9Z)/20:0)|PC(18:0/18:1(11Z))|PC(18:0/18:1(9Z))|PC(18:1(11Z)/18:0)|PC(18:1(9Z)/18:0)|PC(20:0/16:1(9Z))|PC(20:1(11Z)/16:0)|PC(22:0/14:1(9Z))|PC(22:1(13Z)/14:0)|PE(15:0/24:1(15Z))|PE(24:1(15Z)/15:0)|PE-NMe(14:0/24:1(15Z))|PE-NMe(14:1(9Z)/24:0)|PE-NMe(16:0/22:1(13Z))|PE-NMe(16:1(9Z)/22:0)|PE-NMe(18:0/20:1(11Z))|PE-NMe(18:1(11Z)/20:0)|PE-NMe(18:1(9Z)/20:0)|PE-NMe(20:0/18:1(11Z))|PE-NMe(20:0/18:1(9Z))|PE-NMe(20:1(11Z)/18:0)|PE-NMe(22:0/16:1(9Z))|PE-NMe(22:1(13Z)/16:0)|PE-NMe(24:0/14:1(9Z))|PE-NMe(24:1(15Z)/14:0)|PE-NMe2(15:0/22:1(13Z))|PE-NMe2(22:1(13Z)/15:0)	Lipids and lipid-like molecules	";Glycerophospholipids"	
C44H87NO3	HMDB0004955|HMDB0011772	Cer(d18:1/26:0)|Cer(d18:0/26:1(17Z))	Lipids and lipid-like molecules	Sphingolipids	
C44H87O10P	HMDB0116641|HMDB0116677	PG(a-13:0/a-25:0)|PG(i-13:0/a-25:0)	Lipids and lipid-like molecules	Glycerophospholipids	
C44H88NO7P	HMDB0008061|HMDB0008291|HMDB0011215|HMDB0011241|HMDB0013414|HMDB0013427	PC(18:0/P-18:0)|PC(20:0/P-16:0)|PC(P-16:0/20:0)|PC(P-18:0/18:0)|PC(o-16:1(9Z)/20:0)|PC(o-18:1(9Z)/18:0)	Lipids and lipid-like molecules	Glycerophospholipids	
C44H88NO8P	HMDB0007886|HMDB0007977|HMDB0008036|HMDB0008265|HMDB0008525|HMDB0008914|HMDB0009714|HMDB0112997|HMDB0113052|HMDB0113093|HMDB0113284|HMDB0113511|HMDB0113701|HMDB0113931|HMDB0114412	PC(14:0/22:0)|PC(16:0/20:0)|PC(18:0/18:0)|PC(20:0/16:0)|PC(22:0/14:0)|PE(15:0/24:0)|PE(24:0/15:0)|PE-NMe(14:0/24:0)|PE-NMe(16:0/22:0)|PE-NMe(18:0/20:0)|PE-NMe(20:0/18:0)|PE-NMe(22:0/16:0)|PE-NMe(24:0/14:0)|PE-NMe2(15:0/22:0)|PE-NMe2(22:0/15:0)	Lipids and lipid-like molecules	Glycerophospholipids	
C44H89NO3	HMDB0011771	Cer(d18:0/26:0)	Lipids and lipid-like molecules	Sphingolipids	
C44H89NO5	HMDB0035472	N-(2R-Hydroxyhexacosanoyl)-2S-amino-1,3S,4R-octadecanetriol	Lipids and lipid-like molecules	Sphingolipids	
C45H68O5	HMDB0007527|HMDB0007556|HMDB0007583|HMDB0007584|HMDB0007723|HMDB0007752|HMDB0007779|HMDB0007780|HMDB0056341|HMDB0056363|HMDB0056380|HMDB0056382	DG(20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:4(8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)|DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)|DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)|DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)|DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z)/0:0)|DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z)/0:0)|DG(20:4n6/0:0/22:6n3)|DG(22:5n6/0:0/20:5n3)|DG(20:4n3/0:0/22:6n3)|DG(20:5n3/0:0/22:5n3)	Lipids and lipid-like molecules	Glycerolipids	
C45H70O5	HMDB0007469|HMDB0007498|HMDB0007525|HMDB0007526|HMDB0007554|HMDB0007555|HMDB0007582|HMDB0007694|HMDB0007721|HMDB0007722|HMDB0007750|HMDB0007751|HMDB0007777|HMDB0007778|HMDB0056250|HMDB0056331|HMDB0056335|HMDB0056340|HMDB0056356|HMDB0056362|HMDB0056379	DG(20:3(5Z,8Z,11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:3(8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:4(5Z,8Z,11Z,14Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)|DG(20:4(5Z,8Z,11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:4(8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)|DG(20:4(8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)|DG(22:4(7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)|DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(5Z,8Z,11Z,14Z)/0:0)|DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z)/0:0)|DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:4(5Z,8Z,11Z,14Z)/0:0)|DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:4(8Z,11Z,14Z,17Z)/0:0)|DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(5Z,8Z,11Z)/0:0)|DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:3(8Z,11Z,14Z)/0:0)|DG(20:3n9/0:0/22:6n3)|DG(20:3n6/0:0/22:6n3)|DG(20:4n6/0:0/22:5n6)|DG(20:4n6/0:0/22:5n3)|DG(22:4n6/0:0/20:5n3)|DG(22:5n6/0:0/20:4n3)|DG(20:4n3/0:0/22:5n3)	Lipids and lipid-like molecules	Glycerolipids	
C45H72O5	HMDB0007440|HMDB0007467|HMDB0007468|HMDB0007496|HMDB0007497|HMDB0007524|HMDB0007553|HMDB0007692|HMDB0007693|HMDB0007719|HMDB0007720|HMDB0007748|HMDB0007749|HMDB0007776|HMDB0056244|HMDB0056249|HMDB0056320|HMDB0056325|HMDB0056330|HMDB0056334|HMDB0056355	DG(20:2(11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:3(5Z,8Z,11Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)|DG(20:3(5Z,8Z,11Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:3(8Z,11Z,14Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)|DG(20:3(8Z,11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:4(5Z,8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z)/0:0)|DG(20:4(8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)|DG(22:4(7Z,10Z,13Z,16Z)/20:4(5Z,8Z,11Z,14Z)/0:0)|DG(22:4(7Z,10Z,13Z,16Z)/20:4(8Z,11Z,14Z,17Z)/0:0)|DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:3(5Z,8Z,11Z)/0:0)|DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z)/0:0)|DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:3(5Z,8Z,11Z)/0:0)|DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:3(8Z,11Z,14Z)/0:0)|DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:2(11Z,14Z)/0:0)|DG(20:3n9/0:0/22:5n6)|DG(20:3n9/0:0/22:5n3)|DG(20:2n6/0:0/22:6n3)|DG(20:3n6/0:0/22:5n6)|DG(20:3n6/0:0/22:5n3)|DG(20:4n6/0:0/22:4n6)|DG(22:4n6/0:0/20:4n3)	Lipids and lipid-like molecules	Glycerolipids	
C45H74O2	HMDB0010369|HMDB0010370	CE(18:3(6Z,9Z,12Z))|CE(18:3(9Z,12Z,15Z))	Lipids and lipid-like molecules	Steroids and steroid derivatives	
C45H74O3	HMDB0061670|HMDB0112222|HMDB0112228|HMDB0112231|HMDB0112233	CE(DiMe(9,3))|CE(7F7)|CE(8F6)|CE(9F5)|CE(9M4)	Lipids and lipid-like molecules	Steroids and steroid derivatives	
C45H74O5	HMDB0007411|HMDB0007438|HMDB0007439|HMDB0007466|HMDB0007495|HMDB0007581|HMDB0007665|HMDB0007690|HMDB0007691|HMDB0007718|HMDB0007747|HMDB0007775|HMDB0056233|HMDB0056243|HMDB0056314|HMDB0056319|HMDB0056324|HMDB0056348	DG(20:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:2(11Z,14Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)|DG(20:2(11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:3(5Z,8Z,11Z)/22:4(7Z,10Z,13Z,16Z)/0:0)|DG(20:3(8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z)/0:0)|DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)|DG(22:2(13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)|DG(22:4(7Z,10Z,13Z,16Z)/20:3(5Z,8Z,11Z)/0:0)|DG(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z)/0:0)|DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:2(11Z,14Z)/0:0)|DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:2(11Z,14Z)/0:0)|DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:1(11Z)/0:0)|DG(20:1n9/0:0/22:6n3)|DG(20:3n9/0:0/22:4n6)|DG(20:2n6/0:0/22:5n6)|DG(20:2n6/0:0/22:5n3)|DG(20:3n6/0:0/22:4n6)|DG(22:2n6/0:0/20:5n3)	Lipids and lipid-like molecules	Glycerolipids	
C45H76NO7P	HMDB0009710|HMDB0009711|HMDB0011427|HMDB0011460	PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))|PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))|PE(P-18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))|PE(P-18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	Lipids and lipid-like molecules	Glycerophospholipids	
C45H76NO8P	HMDB0009045|HMDB0009078|HMDB0009109|HMDB0009110|HMDB0009141|HMDB0009174|HMDB0009302|HMDB0009333|HMDB0009334|HMDB0009366|HMDB0009367|HMDB0009397|HMDB0009398|HMDB0009430|HMDB0009431|HMDB0009462|HMDB0009589|HMDB0009590|HMDB0009621|HMDB0009654|HMDB0009685|HMDB0009686|HMDB0113982|HMDB0114084|HMDB0114111|HMDB0114112|HMDB0114140|HMDB0114141|HMDB0114167|HMDB0114168|HMDB0114279|HMDB0114307|HMDB0114333|HMDB0114334|HMDB0114361|HMDB0114362|HMDB0114389|HMDB0114580	PE(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))|PE(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))|PE(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))|PE(18:2(9Z,12Z)/22:5(7Z,10Z,13Z,16Z,19Z))|PE(18:3(6Z,9Z,12Z)/22:4(7Z,10Z,13Z,16Z))|PE(18:3(9Z,12Z,15Z)/22:4(7Z,10Z,13Z,16Z))|PE(20:2(11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z))|PE(20:3(5Z,8Z,11Z)/20:4(5Z,8Z,11Z,14Z))|PE(20:3(5Z,8Z,11Z)/20:4(8Z,11Z,14Z,17Z))|PE(20:3(8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))|PE(20:3(8Z,11Z,14Z)/20:4(8Z,11Z,14Z,17Z))|PE(20:4(5Z,8Z,11Z,14Z)/20:3(5Z,8Z,11Z))|PE(20:4(5Z,8Z,11Z,14Z)/20:3(8Z,11Z,14Z))|PE(20:4(8Z,11Z,14Z,17Z)/20:3(5Z,8Z,11Z))|PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))|PE(20:5(5Z,8Z,11Z,14Z,17Z)/20:2(11Z,14Z))|PE(22:4(7Z,10Z,13Z,16Z)/18:3(6Z,9Z,12Z))|PE(22:4(7Z,10Z,13Z,16Z)/18:3(9Z,12Z,15Z))|PE(22:5(4Z,7Z,10Z,13Z,16Z)/18:2(9Z,12Z))|PE(22:5(7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))|PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(11Z))|PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))|PE-NMe2(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))|PE-NMe2(18:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z))|PE-NMe2(18:3(6Z,9Z,12Z)/20:4(5Z,8Z,11Z,14Z))|PE-NMe2(18:3(6Z,9Z,12Z)/20:4(8Z,11Z,14Z,17Z))|PE-NMe2(18:3(9Z,12Z,15Z)/20:4(5Z,8Z,11Z,14Z))|PE-NMe2(18:3(9Z,12Z,15Z)/20:4(8Z,11Z,14Z,17Z))|PE-NMe2(18:4(6Z,9Z,12Z,15Z)/20:3(5Z,8Z,11Z))|PE-NMe2(18:4(6Z,9Z,12Z,15Z)/20:3(8Z,11Z,14Z))|PE-NMe2(20:3(5Z,8Z,11Z)/18:4(6Z,9Z,12Z,15Z))|PE-NMe2(20:3(8Z,11Z,14Z)/18:4(6Z,9Z,12Z,15Z))|PE-NMe2(20:4(5Z,8Z,11Z,14Z)/18:3(6Z,9Z,12Z))|PE-NMe2(20:4(5Z,8Z,11Z,14Z)/18:3(9Z,12Z,15Z))|PE-NMe2(20:4(8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))|PE-NMe2(20:4(8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z))|PE-NMe2(20:5(5Z,8Z,11Z,14Z,17Z)/18:2(9Z,12Z))|PE-NMe2(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:1(9Z))	Lipids and lipid-like molecules	Glycerophospholipids	
C45H76O2	HMDB0000610	CE(18:2(9Z,12Z))	Lipids and lipid-like molecules	Steroids and steroid derivatives	
C45H76O5	HMDB0007382|HMDB0007409|HMDB0007410|HMDB0007437|HMDB0007523|HMDB0007552|HMDB0007580|HMDB0007636|HMDB0007663|HMDB0007664|HMDB0007689|HMDB0007717|HMDB0007746|HMDB0007774|HMDB0056086|HMDB0056227|HMDB0056232|HMDB0056264|HMDB0056313|HMDB0056333|HMDB0056347	DG(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z)/0:0)|DG(20:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)|DG(20:2(11Z,14Z)/22:4(7Z,10Z,13Z,16Z)/0:0)|DG(20:4(5Z,8Z,11Z,14Z)/22:2(13Z,16Z)/0:0)|DG(20:4(8Z,11Z,14Z,17Z)/22:2(13Z,16Z)/0:0)|DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:1(13Z)/0:0)|DG(22:1(13Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)|DG(22:2(13Z,16Z)/20:4(5Z,8Z,11Z,14Z)/0:0)|DG(22:2(13Z,16Z)/20:4(8Z,11Z,14Z,17Z)/0:0)|DG(22:4(7Z,10Z,13Z,16Z)/20:2(11Z,14Z)/0:0)|DG(22:5(4Z,7Z,10Z,13Z,16Z)/20:1(11Z)/0:0)|DG(22:5(7Z,10Z,13Z,16Z,19Z)/20:1(11Z)/0:0)|DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:0/0:0)|DG(20:0/0:0/22:6n3)|DG(20:1n9/0:0/22:5n6)|DG(20:1n9/0:0/22:5n3)|DG(22:1n9/0:0/20:5n3)|DG(20:2n6/0:0/22:4n6)|DG(20:4n6/0:0/22:2n6)|DG(22:2n6/0:0/20:4n3)	Lipids and lipid-like molecules	Glycerolipids	
C45H76O7P2	HMDB0002367	Solanesyl-PP	Lipids and lipid-like molecules	Prenol lipids	
C45H78NO7P	HMDB0009644|HMDB0009645|HMDB0009677|HMDB0009678|HMDB0009709|HMDB0011394|HMDB0011425|HMDB0011426|HMDB0011458|HMDB0011459	PE(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(11Z))|PE(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z))|PE(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(11Z))|PE(22:5(7Z,10Z,13Z,16Z,19Z)/P-18:1(9Z))|PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)|PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))|PE(P-18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))|PE(P-18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))|PE(P-18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))|PE(P-18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))	Lipids and lipid-like molecules	Glycerophospholipids	
